N,Permanent,Error,Epochs
11,350710.0,0.17339514629121291,7
15,7290654199.0,0.08666615829043027,7
11,1089750.0,0.3834058666237961,6
14,478488960.0,0.2394418156716842,7
13,58327895.0,0.1341086945438736,7
14,599974378.0,0.12336138759899466,7
11,891419.0,0.04389644920839281,6
11,3171064.0,-0.008340883302540202,6
15,5290946570.0,0.35148538990171374,7
14,457887060.0,0.5340399835357819,7
15,5734769644.0,0.37549652735686484,7
12,4909932.0,0.38138936046010935,7
10,141742.0,0.2294640852906309,6
11,362286.0,0.5198441554197596,7
10,47248.0,0.21674559476065114,7
14,202156296.0,0.5168849739465387,7
12,7082180.0,0.4425864191105188,7
13,38239340.0,0.4387358434904762,7
15,7723239467.0,0.2848429108539402,7
10,30816.0,0.5462217645073676,6
14,534012122.0,0.08613290825986945,7
15,3989181141.0,0.21427165888781702,7
10,48728.0,0.5866975003420074,7
13,22753062.0,0.2794685273930678,7
12,6117464.0,0.3739387448469988,7
12,5866380.0,-0.024216394376505683,7
12,1417932.0,0.35019821073132906,6
10,53848.0,0.012307983250682115,6
11,824885.0,0.38011991545477636,7
12,3353068.0,0.15022957622046595,7
12,6229428.0,0.1102080513509856,7
14,691146807.0,0.332451692693574,7
13,26197422.0,0.4228471436686969,7
13,59647836.0,0.1915820537988174,7
13,8261754.0,0.3232392640225699,9
10,66442.0,0.2538755141896318,6
12,10826620.0,0.08136662523968562,6
15,1709495245.0,0.39190510862572386,10
13,63641212.0,0.28420498892744017,7
10,187724.0,0.19693140229744915,6
13,82517173.0,0.13210643329953278,7
11,726648.0,0.663524420445865,6
14,739753298.0,0.10471506002859285,7
11,201328.0,0.20971230675036137,7
14,331074152.0,0.21754770417786634,6
14,237624064.0,0.5163387421750377,6
14,1287700940.0,0.2973990977275947,7
15,8476080952.0,0.10761606300578655,7
15,12070115620.0,0.07595001528128678,7
15,4966483794.0,0.2229071503547296,7
12,2228582.0,0.3787163641900873,7
10,101506.0,0.2560276947495039,6
13,47915140.0,0.17717284055774238,7
13,112877936.0,0.2967260817926279,7
10,133408.0,0.13933520937661165,6
14,283254764.0,-0.02258150060489257,7
10,176964.0,0.13465632413317158,6
13,72455809.0,0.2271869100761224,7
11,806360.0,0.16250546791075915,7
13,173297916.0,0.07143620772476361,7
12,6353203.0,0.29576910304247495,7
14,233179742.0,0.308291365139236,7
14,688357358.0,0.21170018159720977,7
12,3032336.0,0.5544528345573149,7
10,47123.0,0.14207110401478085,7
10,48080.0,0.07017630385495618,7
12,1840964.0,0.04410974511990982,6
12,4729016.0,0.11832837360282379,7
12,951662.0,0.6316294713872753,7
15,2440625280.0,0.2703610109207959,9
11,764566.0,0.34702678955168337,7
10,71214.0,-0.03254223894541047,7
15,12839700668.0,0.07440087118039035,7
