N,Permanent,Error,Epochs
12,17147281.0,0.0021465210723496044,6
15,17625456954.0,0.16479267553632584,7
15,39735439240.0,0.04538841141548181,6
12,20484840.0,0.13195875584090477,6
15,160917640080.0,0.11011358260157751,6
14,2557641701.0,0.15971230444056636,7
15,22705161648.0,0.12932357895186564,7
14,2595234267.0,0.04380281943926721,6
10,603752.0,0.03792782466973194,5
10,447508.0,0.07900193963012951,6
15,37150560808.0,0.036902680798960606,6
12,29868780.0,-0.02423748141035556,6
14,7618242672.0,0.03375493602286236,6
14,2565882204.0,0.024806941994754174,6
10,270953.0,0.12514347506763165,6
12,28163712.0,0.01539200514477637,6
15,51221771894.0,0.06999504053509657,6
14,4163428776.0,0.20965879542165128,6
11,4591918.0,0.06824294336266458,6
14,1797581967.0,0.03969118477477472,7
10,202260.0,0.2740680312469099,6
12,22420470.0,0.24932969737030491,6
14,2208688590.0,0.34421624191031835,7
13,197935296.0,0.2207282222166177,6
14,8752957420.0,0.04935204563122392,6
12,59349952.0,0.11123827025167603,6
13,90632468.0,0.30330630519738244,7
13,345618854.0,0.06727217491439283,6
11,1850592.0,0.26508328145804155,6
15,111586862826.0,0.09417419500704406,6
11,952081.0,0.3708213901968425,7
11,4718964.0,0.1180608709877846,6
11,2733384.0,0.23252093375830107,6
13,236656966.0,0.16614559742137486,6
15,32686920989.0,0.22347736960169026,7
12,35176002.0,0.21599691744388688,6
15,81249401730.0,0.07488263908967985,6
11,4339308.0,0.23966056338936992,5
14,2763712860.0,0.23808069699397064,7
12,56367600.0,0.14557694491161588,6
14,3837466932.0,0.190369402510854,6
13,371573432.0,0.07287159325212465,6
13,240347728.0,0.16982378547801374,6
13,126063905.0,0.33463278802921426,7
10,241352.0,0.0727733766449004,6
13,420717140.0,0.06707426752330556,6
15,68334690420.0,0.15443699580895826,6
12,26355002.0,0.22224050675465704,6
13,85293432.0,0.40884849140552815,7
10,397590.0,0.0950124500113182,6
14,8578893348.0,0.0840463958172522,6
11,944452.0,0.10495610152765837,7
15,51497330076.0,0.15576701918646474,6
12,30922740.0,0.035199791480315136,6
15,22833201366.0,0.11295754238126925,7
11,3138502.0,0.25704205382058065,6
15,34206716584.0,0.11366316935015654,7
10,362212.0,0.06821143418771328,6
10,199021.0,0.2106662111033509,6
13,184850213.0,0.04248785474756256,6
13,324007942.0,0.03447765178546148,6
11,6429596.0,0.06707886467516777,5
15,44333806808.0,0.12088024516389957,6
11,7449264.0,0.1511103647286497,5
11,3300228.0,0.15636162107587717,6
10,471897.0,0.04998760322697538,5
11,3062004.0,0.11688162392994915,6
11,4870590.0,0.10598182150417096,6
10,232924.0,0.09633185073242774,6
10,202711.0,0.11724080094321472,6
15,81729833120.0,0.04366996707015912,6
11,2956950.0,0.04767953465564179,6
11,5354410.0,0.054286466669530346,6
12,24801684.0,0.06309216745121017,6
14,5229690120.0,0.22264892685458007,6
14,5566427988.0,0.1570179845826113,6
11,2343636.0,0.1716712834245591,6
10,316186.0,0.22339382515354886,6
10,215753.0,0.24303717677158604,6
13,62717088.0,0.20025443464466972,7
13,466735674.0,0.040439000169504934,6
10,575366.0,0.09198840390290702,5
10,189922.0,0.18400185339244532,6
10,416556.0,0.032259768194432444,6
14,5346756287.0,0.035110131437341124,6
14,7839738914.0,0.0356086636382085,6
12,14378064.0,0.26497086116740054,6
14,3317054468.0,0.15554095115932234,6
11,4250592.0,0.13632689281869442,6
15,23871308708.0,0.24882322941135665,7
12,57462118.0,0.025398994168645158,6
12,37575032.0,0.03465213283118428,6
10,324016.0,0.37290442447286554,6
13,169306986.0,0.1003439810806153,7
12,21462448.0,0.22613357059735217,6
11,1788244.0,0.09337036780215675,6
12,29632338.0,0.0844123065820861,6
13,664511804.0,0.0565171916795627,6
15,47962677300.0,0.10695901043872712,6
12,33603746.0,0.0728372961752538,6
15,31066234740.0,0.056134236079618316,7
12,50948880.0,0.1653379819144209,6
13,268291016.0,0.10683203048439013,6
14,2392343562.0,0.11494804273434034,7
12,30938574.0,0.16084209311004444,6
13,281739242.0,0.07927432771328319,6
11,2557539.0,0.10183226922443803,6
12,34443936.0,0.14103240117505736,6
10,313684.0,0.22408219737060225,6
12,39756995.0,0.08009398094599454,6
12,16159438.0,0.23302264596083105,6
11,3612234.0,0.2032628561715548,6
10,275430.0,0.19388955451475873,6
15,94525545976.0,0.05682318262794014,6
11,2848382.0,0.199593312975577,6
11,3778208.0,0.023506381861453894,6
15,63490164616.0,0.06835041597775907,6
14,3161435464.0,0.06978783420138163,6
15,13431936680.0,0.17488709185904233,7
14,1022265878.0,0.45689149178468424,7
13,231638812.0,0.04625643219064687,6
12,41774646.0,0.006940597414039128,6
10,532238.0,0.05524596139321131,5
12,61183304.0,0.043949081272237275,6
13,309187176.0,0.07373159939854686,6
11,6682466.0,0.02767211984318364,5
13,145786978.0,0.14461290225797807,7
10,262650.0,0.14870740529221396,6
10,400826.0,0.2192722029010094,6
10,214632.0,0.3643958030489396,6
13,316341357.0,0.05114599037393647,6
13,256428366.0,0.03394285560436009,6
14,4544892788.0,0.2812491520977106,6
10,237163.0,-0.01895320939606937,6
12,27313758.0,0.10076259004711105,6
11,4219596.0,0.17967502102096977,6
14,4111044136.0,0.06266985575364789,6
11,3817286.0,0.024376743057764078,6
12,11863572.0,0.38562820708636486,7
14,6057503071.0,0.07641992857026815,6
15,36623034012.0,0.12630926767247871,7
12,28327564.0,0.015382155698245003,6
10,246385.0,-0.05626560058445117,6
11,982974.0,0.2098560083990014,6
13,313015128.0,0.14701746939208638,6
14,6451849777.0,0.021120267320198022,6
12,19639012.0,0.3172240029182731,6
13,554273520.0,0.16006276107146522,6
11,2591244.0,0.21911483441929822,6
13,247011816.0,0.2163350598580272,6
14,3411160134.0,0.1036678080501981,6
14,3268165132.0,0.26334691829764006,6
11,4282506.0,0.1353742411569301,6
12,18548356.0,0.12627943953631254,6
14,3776366961.0,0.12706681023205785,6
13,159130810.0,0.21352942274346495,7
15,43400348268.0,0.1514028997284543,7
12,37182285.0,0.15333006026929222,6
