N,M,error,timePerm,timeBark
12.0,2.0,0.014295736354331977,0.0160980224609375,0.0069179534912109375
10.0,2.0,0.018235603627522756,0.004278659820556641,0.002668619155883789
15.0,4.0,0.0034726666509243566,0.11872482299804688,4.387107849121094
12.0,3.0,0.00032568188904908454,0.017222166061401367,0.09068679809570312
10.0,4.0,0.0018699299278970094,0.0037369728088378906,0.11791729927062988
13.0,3.0,0.012549199636482681,0.02747321128845215,0.14786219596862793
14.0,2.0,0.0007744059504429609,0.05591011047363281,0.010426998138427734
10.0,2.0,0.0015710023053157366,0.0034372806549072266,0.002913236618041992
14.0,3.0,0.004088419427181926,0.057177066802978516,0.24901151657104492
10.0,2.0,0.0007027103352840225,0.003668546676635742,0.002566814422607422
15.0,2.0,0.007556162572167037,0.1117548942565918,0.01420283317565918
11.0,2.0,0.00583679830148881,0.007002353668212891,0.004090785980224609
11.0,2.0,0.014172716738544432,0.0068247318267822266,0.003927707672119141
14.0,4.0,0.0061094528862824455,0.05607724189758301,2.4649014472961426
11.0,2.0,0.0008935620689347174,0.007726430892944336,0.00656580924987793
13.0,2.0,0.007181429477036872,0.02983260154724121,0.008976221084594727
13.0,4.0,0.0012185923844117803,0.02959418296813965,1.2878496646881104
11.0,4.0,0.0006580515383839895,0.007791042327880859,0.2960479259490967
11.0,3.0,0.0016576227443469557,0.007666349411010742,0.05192279815673828
12.0,4.0,0.0004285086688783442,0.01392817497253418,0.635871410369873
11.0,4.0,0.0007469501889954358,0.007459163665771484,0.30162882804870605
15.0,4.0,0.008808103963486153,0.10818743705749512,4.225998401641846
15.0,2.0,0.007558275984941066,0.10879731178283691,0.013989925384521484
12.0,2.0,0.004061158512819669,0.013743162155151367,0.0059070587158203125
10.0,2.0,0.0062923119511782725,0.0034198760986328125,0.002861499786376953
14.0,3.0,0.0011002443027984452,0.05515909194946289,0.23918461799621582
13.0,4.0,0.002216507231157164,0.0287930965423584,1.2141575813293457
15.0,2.0,0.011829059181028377,0.1125650405883789,0.015486478805541992
14.0,4.0,0.0017878605253124626,0.05945873260498047,2.3259997367858887
13.0,3.0,0.007604773639041056,0.028757572174072266,0.14664220809936523
13.0,3.0,0.00061010702181203,0.028133392333984375,0.1464846134185791
10.0,3.0,0.0021387501159617368,0.003526449203491211,0.027797937393188477
11.0,3.0,0.0036288365942055848,0.007604360580444336,0.05451011657714844
12.0,3.0,0.003919901989687575,0.015041112899780273,0.09478616714477539
10.0,4.0,0.0009074667338328123,0.003728628158569336,0.13050246238708496
14.0,3.0,0.004296272943200328,0.0590057373046875,0.25235962867736816
14.0,3.0,0.006964616456809882,0.06037282943725586,0.23719334602355957
12.0,4.0,0.005851615472795807,0.015354394912719727,0.6293840408325195
12.0,3.0,0.005747684783487824,0.01992964744567871,0.0908970832824707
10.0,2.0,0.0003399646083713116,0.003371000289916992,0.0028645992279052734
12.0,3.0,0.0011451104258143059,0.013720512390136719,0.0865468978881836
11.0,2.0,0.000310590999865558,0.0068206787109375,0.004218578338623047
14.0,3.0,0.020661925310194024,0.05567479133605957,0.23340964317321777
15.0,3.0,0.00098163218757446,0.11289095878601074,0.36691951751708984
14.0,4.0,0.00506847386443582,0.05636954307556152,2.3833794593811035
13.0,3.0,0.002283487813124084,0.029401540756225586,0.14670252799987793
11.0,3.0,0.0020408438092053903,0.007123470306396484,0.050951480865478516
11.0,2.0,0.004545745919764285,0.006878376007080078,0.0040378570556640625
10.0,3.0,0.0011911530394697817,0.0034284591674804688,0.027570724487304688
