N,Permanent,Error,
15,61704289660.0,-0.8043759941729796,
11,1833048.0,-0.45219110465192397,
13,370776620.0,-0.1358709510863982,
13,166121321.0,0.47246601777263736,
14,3595678938.0,1.3359878745659022,
10,306306.0,-0.18414918414918396,
10,446043.0,0.2106456104007907,
15,19159785600.0,1.7133727592442372,
15,51596451834.0,-0.060332036862052414,
13,217453814.0,0.5823939514806579,
12,43353596.0,0.10776508596887788,
14,4053187606.0,-0.43974406794334797,
10,472952.0,-0.03787276510089819,
13,239909579.0,1.1568125881292968,
12,16109723.0,1.6830405463830755,
14,8528900040.0,-0.6199913253995646,
10,323624.0,1.1124762069562208,
11,1809980.0,-0.42823677609697347,
12,24772584.0,-0.060057683122600375,
12,17172808.0,0.3924338989872827,
12,38210532.0,0.5406014237121846,
11,3309882.0,-1.0,
15,24514370770.0,-0.1194142553143737,
15,75212621064.0,-0.8225274198509616,
10,759216.0,-0.04406651071631788,
15,27831584008.0,1.1191774691317098,
13,516946633.0,0.4460293428393408,
13,235550518.0,-0.6508978171722807,
13,204174873.0,-0.785456242480707,
13,211128132.0,0.21541358590715898,
14,8762379624.0,-0.14534085564060925,
15,37507746059.0,-0.4281547292588275,
14,1173149745.0,0.0690138111908297,
14,1946843800.0,-0.03351260126775463,
12,21145058.0,0.6144481608894145,
15,20309436330.0,0.03202123680012541,
14,5215363344.0,0.5276465846173267,
12,38016862.0,-0.21359807831237285,
13,549906636.0,-0.30133740011822663,
12,9100652.0,-1.0,
14,4452122958.0,-0.0717020156476999,
10,356814.0,-0.390270561132691,
10,231696.0,1.2584075685380844,
13,310435434.0,2.2788731198771592,
11,1165171.0,-0.046217250515160437,
11,1102158.0,-0.6478907742810015,
11,1873117.0,-0.5038857690149627,
15,35731617256.0,-0.42973261316409084,
15,23996840484.0,-0.60368286623645,
13,683910516.0,-0.46887367352602605,
11,6367328.0,-0.43050104114839594,
14,6089362332.0,-0.1347176744088678,
11,2781112.0,0.06041036822680999,
10,359748.0,1.3340338236765736,
12,51501558.0,-0.40947805889678135,
10,152721.0,-0.12499263362602393,
13,334751718.0,-0.26967341210180146,
14,4033304270.0,0.8544401263334392,
10,283040.0,-0.5152628603730922,
15,38370108450.0,-0.5491990849455105,
15,7626980190.0,0.8596137688407972,
12,18621232.0,-0.597929932885214,
14,1854433800.0,0.12750317644124046,
11,1367488.0,-0.11454839498083749,
13,349248212.0,0.2230009068736478,
10,236172.0,0.15621947845920214,
11,4892211.0,0.13322994449748796,
14,5225110712.0,-0.10493194234924376,
13,270348232.0,0.49638115628586743,
