Matrix,Number of Ones,Time for Apprx,Time for Calc,Calc Perm,Actual Perm,Relative Error
"[[0 2 0]
 [0 0 2]
 [2 2 0]]",4,0.00019407272338867188,1.71661376953125e-05,1,1.0,0.4591774144590012
"[[0 2 0]
 [0 0 2]
 [2 2 2]]",5,0.00016307830810546875,1.6927719116210938e-05,1,1.0,0.0639632359814506
"[[0 2 0]
 [0 2 0]
 [0 0 0]]",2,0.00015974044799804688,1.71661376953125e-05,0,0.0,inf
"[[0 2 0]
 [0 2 0]
 [0 0 2]]",3,0.0001666545867919922,1.8835067749023438e-05,0,0.0,inf
"[[0 2 0]
 [0 2 0]
 [0 2 0]]",3,0.0001609325408935547,1.7404556274414062e-05,0,0.0,inf
"[[0 2 0]
 [0 2 0]
 [0 2 2]]",4,0.0001499652862548828,2.1219253540039062e-05,0,0.0,inf
"[[0 2 0]
 [0 2 0]
 [2 0 0]]",3,0.0001850128173828125,2.3126602172851562e-05,0,0.0,inf
"[[0 2 0]
 [0 2 0]
 [2 0 2]]",4,0.00016260147094726562,1.71661376953125e-05,1,0.0,inf
"[[0 2 0]
 [0 2 0]
 [2 2 0]]",4,0.00016164779663085938,1.71661376953125e-05,0,0.0,inf
"[[0 2 0]
 [0 2 0]
 [2 2 2]]",5,0.0001697540283203125,1.6927719116210938e-05,1,0.0,inf
"[[0 2 0]
 [0 2 2]
 [0 0 0]]",3,0.00017261505126953125,1.7404556274414062e-05,0,0.0,inf
"[[0 2 0]
 [0 2 2]
 [0 0 2]]",4,0.0001590251922607422,1.71661376953125e-05,1,0.0,inf
"[[0 2 0]
 [0 2 2]
 [0 2 0]]",4,0.0001914501190185547,1.7881393432617188e-05,0,0.0,inf
"[[0 2 0]
 [0 2 2]
 [0 2 2]]",5,0.00015807151794433594,1.7404556274414062e-05,1,0.0,inf
"[[0 2 0]
 [0 2 2]
 [2 0 0]]",4,0.00018358230590820312,1.8835067749023438e-05,1,1.0,0.4591774144590012
"[[0 2 0]
 [0 2 2]
 [2 0 2]]",5,0.00015401840209960938,1.7642974853515625e-05,1,1.0,0.05696276004474243
