N,Permanent,barkEstimate,PreError,Error
15,22273689025.0,21967878306.16503,-0.6579072895905947,-0.01372968431460664
13,75649179.0,67741627.13905326,-0.7479625531858718,-0.10452924890231452
13,71112282.0,81785574.51540147,-0.4090463193727518,0.15009070466057423
11,2013305.0,1971895.4135129522,-0.5628657993994389,-0.02056796485731066
14,988973346.0,818488561.7294862,-0.7560151581125838,-0.17238562086638257
10,26857.0,33903.508909839795,-0.507857422826508,0.2623714081930147
12,10259696.0,9630982.448717719,-0.7728082189124234,-0.0612799396085694
10,67665.0,65473.15030948472,-0.7504428085072256,-0.0323926651964129
15,3059412525.0,3180051407.4136496,-0.4727474786057537,0.03943204174914253
14,294098922.0,318065595.367731,-0.42590961627992646,0.08149187764697409
12,1772033.0,2435648.1437603966,-0.7185803765345151,0.374493671258039
12,6305608.0,7110324.728228365,-0.5413892003158819,0.1276192126482276
13,26779238.0,26881293.58322433,-0.6861888114072485,0.003810996534865185
11,443658.0,464565.3408769427,-0.7347515527477047,0.047124904491618935
14,462537506.0,413228093.0691423,-0.7061263644961873,-0.10660630174033436
10,75286.0,78750.4124895796,-0.5103320726919732,0.04601668955157131
13,25147878.0,24896867.515254725,-0.7673762208358579,-0.00998137833916942
14,473641263.0,556981154.0490886,-0.45651182735631507,0.17595572337009116
11,190702.0,241071.3961648755,-0.7317253543512618,0.2641262082457211
15,30422738684.0,29367624977.817513,-0.5351323897053084,-0.03468174634578167
11,1279882.0,1203022.220031745,-0.6201295812588197,-0.060052239165997306
13,10279022.0,16130168.65498926,-0.5159612685625332,0.5692318447211475
15,3084845796.0,2871585691.8869033,-0.6402498173035963,-0.06913152819165963
15,1860260680.0,2181947242.856144,-0.6228029120724207,0.17292552937050948
14,683295712.0,675253279.68039,-0.5572495501635013,-0.01177006115854273
15,4081022169.0,4040888241.9085407,-0.4613628499664695,-0.009834283037304244
15,1647063220.0,1602841733.0268734,-0.7906605596147924,-0.026848688281149675
15,1822110589.0,1642334348.8511555,-0.5233177916842646,-0.09866373711570833
14,278029066.0,294795794.93161243,-0.6461134453917067,0.060305669377792435
